epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,8763.01,0.6361,1.81773,0.22019,0.42246,1.02761,0.98894,0.99782,0.99242,0.92249,0.9799,0.98288,0.98382,0.77777,0.23934,0.50974,0.09043,0.21187,0.42415,0.005149,0.005149,0.005149
51,8940.98,0.63259,1.79919,0.21796,0.42238,1.0308,0.98973,0.99782,0.99252,0.92158,0.98205,0.98391,0.9891,0.77573,0.23959,0.50616,0.09036,0.23709,0.42373,0.00505,0.00505,0.00505
52,9117.61,0.62491,1.75006,0.2166,0.41735,1.02527,0.99079,0.99622,0.99261,0.92315,0.98097,0.98301,0.98383,0.77547,0.2358,0.50651,0.08992,0.32882,0.42065,0.004951,0.004951,0.004951
53,9291.13,0.62197,1.77034,0.21755,0.41673,1.02287,0.9875,0.99891,0.99203,0.92117,0.97871,0.98093,0.9822,0.78749,0.23659,0.49231,0.08918,0.33753,0.42016,0.004852,0.004852,0.004852
54,9465.54,0.62638,1.75699,0.21489,0.41204,1.02384,0.98769,0.99673,0.99223,0.92293,0.98225,0.9842,0.98826,0.78823,0.23687,0.49,0.08834,0.32322,0.42047,0.004753,0.004753,0.004753
55,9639.52,0.62463,1.73091,0.21413,0.41076,1.02563,0.98907,0.99728,0.99262,0.92221,0.98197,0.98311,0.98803,0.78634,0.23682,0.48741,0.0882,0.28966,0.42034,0.004654,0.004654,0.004654
56,9813.55,0.62352,1.74506,0.21484,0.41321,1.02471,0.99295,0.99401,0.9924,0.92132,0.98108,0.98202,0.98238,0.7838,0.23617,0.49002,0.08838,0.2431,0.41925,0.004555,0.004555,0.004555
57,9987.24,0.61962,1.69723,0.21355,0.40735,1.02536,0.98795,0.99837,0.99234,0.92349,0.98011,0.98474,0.9883,0.78957,0.23656,0.48553,0.08776,0.28776,0.41937,0.004456,0.004456,0.004456
58,10160.4,0.61673,1.70151,0.21068,0.40265,1.02283,0.98717,0.99891,0.99244,0.9256,0.98185,0.9842,0.98924,0.79336,0.23375,0.48281,0.08751,0.28721,0.41866,0.004357,0.004357,0.004357
59,10334,0.61194,1.63225,0.20856,0.39903,1.01856,0.98923,0.99673,0.99271,0.9258,0.98271,0.98365,0.98893,0.79412,0.23155,0.47976,0.08709,0.2652,0.41669,0.004258,0.004258,0.004258
60,10507.2,0.60865,1.65172,0.20847,0.40645,1.01952,0.98813,0.99794,0.99277,0.92984,0.97889,0.98548,0.98895,0.79841,0.22934,0.47529,0.08669,0.27163,0.41592,0.004159,0.004159,0.004159
61,10679.8,0.60879,1.64091,0.20775,0.40247,1.0183,0.99346,0.99397,0.99281,0.93017,0.98444,0.98474,0.98916,0.79937,0.22889,0.47195,0.08639,0.21709,0.41612,0.00406,0.00406,0.00406
62,10852.7,0.60006,1.63337,0.20934,0.39512,1.01123,0.99027,0.99799,0.99288,0.93129,0.98512,0.98474,0.98939,0.80401,0.22784,0.4672,0.08593,0.22342,0.41573,0.003961,0.003961,0.003961
63,11026.1,0.60947,1.61969,0.20703,0.40194,1.01894,0.99172,0.99782,0.99295,0.93148,0.9828,0.98801,0.9895,0.80451,0.22753,0.46517,0.08554,0.21485,0.41537,0.003862,0.003862,0.003862
64,11199.3,0.59688,1.6107,0.20416,0.39316,1.01617,0.99141,0.99782,0.99304,0.93308,0.98588,0.98583,0.99001,0.80634,0.22704,0.46309,0.08506,0.20885,0.41485,0.003763,0.003763,0.003763
65,11372.6,0.59955,1.58131,0.20454,0.39421,1.01411,0.99121,0.99837,0.99305,0.93155,0.98637,0.98612,0.99035,0.80703,0.22644,0.4607,0.08478,0.2153,0.41399,0.003664,0.003664,0.003664
66,11545.8,0.58917,1.57118,0.20501,0.38322,1.00945,0.9912,0.99837,0.99311,0.93057,0.98586,0.98764,0.99039,0.80599,0.22611,0.4587,0.08454,0.20137,0.41331,0.003565,0.003565,0.003565
67,11718.6,0.59934,1.58177,0.20417,0.39161,1.01569,0.99238,0.99782,0.99307,0.9303,0.98538,0.98692,0.98986,0.80461,0.22583,0.45554,0.08443,0.17337,0.41302,0.003466,0.003466,0.003466
68,11891.9,0.59338,1.5604,0.20238,0.38556,1.0131,0.99331,0.99837,0.99302,0.93133,0.98365,0.98856,0.9896,0.80376,0.22497,0.45191,0.0842,0.15781,0.41256,0.003367,0.003367,0.003367
69,12064.9,0.59438,1.52817,0.20325,0.3818,1.01457,0.99349,0.99832,0.99304,0.93072,0.98373,0.98845,0.98972,0.80668,0.22477,0.45116,0.08398,0.16107,0.41223,0.003268,0.003268,0.003268
70,12238,0.59063,1.52303,0.20224,0.38355,1.01285,0.99332,0.99891,0.99304,0.93093,0.98585,0.98718,0.98942,0.80689,0.22468,0.44978,0.08394,0.14994,0.41211,0.003169,0.003169,0.003169
71,12411.8,0.58926,1.52957,0.20157,0.38639,1.00697,0.99299,0.99782,0.99306,0.93133,0.98565,0.98692,0.98932,0.80582,0.22489,0.44883,0.08375,0.15623,0.41174,0.00307,0.00307,0.00307
72,12584.6,0.58056,1.48373,0.19993,0.37631,1.00463,0.99456,0.99716,0.99292,0.93346,0.98587,0.98824,0.98975,0.81033,0.22428,0.44574,0.08357,0.15658,0.41154,0.002971,0.002971,0.002971
73,12758,0.58216,1.47696,0.19795,0.37586,1.00357,0.99457,0.99761,0.99285,0.93353,0.98641,0.98873,0.98974,0.81241,0.2239,0.44276,0.08333,0.15802,0.4112,0.002872,0.002872,0.002872
74,12932.1,0.58125,1.42273,0.1963,0.37623,1.00526,0.99457,0.99771,0.99297,0.93259,0.98532,0.98765,0.98953,0.81489,0.22367,0.44114,0.08313,0.15902,0.41114,0.002773,0.002773,0.002773
75,13104.7,0.57694,1.41099,0.19619,0.36836,1.00526,0.99457,0.99815,0.99306,0.93297,0.98603,0.9891,0.98976,0.81711,0.2237,0.43936,0.08279,0.16032,0.41102,0.002674,0.002674,0.002674
76,13277.3,0.56974,1.39363,0.19303,0.36548,1.00207,0.99457,0.99778,0.99308,0.93308,0.98587,0.98865,0.98954,0.81732,0.22318,0.4376,0.08254,0.15579,0.41074,0.002575,0.002575,0.002575
77,13449.8,0.56831,1.39858,0.19361,0.36356,1.00055,0.99457,0.99782,0.99304,0.93348,0.98587,0.98861,0.9895,0.81857,0.22325,0.43635,0.08231,0.15637,0.4107,0.002476,0.002476,0.002476
